地名,センター,もやせるごみ,もやせないごみ,危険ごみ,資源(缶、びん),資源(紙、ペットボトル)
豊見城(県道7号線東側),糸豊環境美化センター,月 木,火1 火3,火1 火3,火,金
高安の一部,糸豊環境美化センター,月 木,火1 火3,火1 火3,火,金
根差部,糸豊環境美化センター,月 木,火1 火3,火1 火3,火,金
嘉数,糸豊環境美化センター,月 木,火1 火3,火1 火3,火,金
豊見城ニュータウン,糸豊環境美化センター,月 木,火1 火3,火1 火3,火,金
真玉橋,糸豊環境美化センター,月 木,火1 火3,火1 火3,火,金
金良,糸豊環境美化センター,月 木,火1 火3,火1 火3,火,金
長堂,糸豊環境美化センター,月 木,火1 火3,火1 火3,火,金
饒波の一部,糸豊環境美化センター,火 金,火1 火3,火1 火3,火,金
高安の一部,糸豊環境美化センター,火 金,水1 水3,水1 水3,水,土
饒波の一部,糸豊環境美化センター,火 金,水1 水3,水1 水3,水,土
豊見城団地,糸豊環境美化センター,火 金,水1 水3,水1 水3,水,土
県営豊見城団地,糸豊環境美化センター,火 金,水1 水3,水1 水3,水,土
平良,糸豊環境美化センター,火 金,水1 水3,水1 水3,水,土
高嶺,糸豊環境美化センター,火 金,水1 水3,水1 水3,水,土
上田(市道25号線東側),糸豊環境美化センター,火 金,水1 水3,水1 水3,水,土
渡嘉敷,糸豊環境美化センター,火 金,水1 水3,水1 水3,水,土
保栄茂,糸豊環境美化センター,火 金,水1 水3,水1 水3,水,土
翁長,糸豊環境美化センター,火 金,水1 水3,水1 水3,水,土
渡橋名の一部,糸豊環境美化センター,火 金,水1 水3,水1 水3,水,土
豊崎,糸豊環境美化センター,火 金,水1 水3,水1 水3,水,土
豊見城(県道7号線西側),糸豊環境美化センター,水 土,月1 月3,月1 月3,月,木
宜保,糸豊環境美化センター,水 土,月1 月3,月1 月3,月,木
我那覇,糸豊環境美化センター,水 土,月1 月3,月1 月3,月,木
名嘉地,糸豊環境美化センター,水 土,月1 月3,月1 月3,月,木
田頭,糸豊環境美化センター,水 土,月1 月3,月1 月3,月,木
瀬長,糸豊環境美化センター,水 土,月1 月3,月1 月3,月,木
与根,糸豊環境美化センター,水 土,月1 月3,月1 月3,月,木
伊良波,糸豊環境美化センター,水 土,月1 月3,月1 月3,月,木
座安,糸豊環境美化センター,水 土,月1 月3,月1 月3,月,木
渡橋名の一部,糸豊環境美化センター,水 土,月1 月3,月1 月3,月,木
上田(市道25号線西側),糸豊環境美化センター,水 土,月1 月3,月1 月3,月,木
